,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[1],0.004351610095735422,0.0034812880765883376,0.0008703220191470844,4,1,0.8
bug_message_keyword_broken,1,[1],0.006962576153176675,0.005221932114882507,0.004351610095735422,7,1,0.875
bug_message_keyword_bug,2,[1],0.028720626631853787,0.0278503046127067,0.016536118363794605,32,1,0.9696969696969697
bug_message_keyword_close,3,[1],0.040905134899912966,0.03655352480417755,0.028720626631853787,21,26,0.44680851063829785
bug_message_keyword_concurr,4,[1],0.006092254134029591,0.006092254134029591,0.005221932114882507,3,4,0.4285714285714286
bug_message_keyword_correct,5,[1],0.012184508268059183,0.009573542210617928,0.006092254134029591,11,3,0.7857142857142857
bug_message_keyword_corrupt,6,[1],0.0026109660574412533,0.0026109660574412533,0.0008703220191470844,2,1,0.6666666666666666
bug_message_keyword_crash,7,[1],0.0008703220191470844,0.0008703220191470844,0.0008703220191470844,1,0,1.0
bug_message_keyword_deadlock,8,[1],0.0034812880765883376,0.0026109660574412533,0.0017406440382941688,4,0,1.0
bug_message_keyword_defect,9,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,10,[1],0.006092254134029591,0.006092254134029591,0.006092254134029591,4,3,0.5714285714285714
bug_message_keyword_endless,11,[1],0.0008703220191470844,0.0008703220191470844,0.0008703220191470844,1,0,1.0
bug_message_keyword_ensur,12,[1],0.004351610095735422,0.004351610095735422,0.0026109660574412533,5,0,1.0
bug_message_keyword_error,13,[1],0.02610966057441253,0.022628372497824196,0.013054830287206266,19,11,0.6333333333333333
bug_message_keyword_except,14,[1],0.020017406440382943,0.018276762402088774,0.010443864229765013,14,9,0.6086956521739131
bug_message_keyword_fail,15,[1],0.04264577893820714,0.03568320278503046,0.024369016536118365,39,10,0.7959183673469388
bug_message_keyword_bugfix,16,[1],0.2689295039164491,0.17493472584856398,0.10966057441253264,278,31,0.8996763754045307
bug_message_keyword_garbag,17,[1],0.0017406440382941688,0.0017406440382941688,0.0017406440382941688,1,1,0.5
bug_message_keyword_handl,18,[1],0.02175805047867711,0.020887728459530026,0.015665796344647518,13,12,0.52
bug_message_keyword_incomplet,19,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,20,[1],0.0017406440382941688,0.0017406440382941688,0.0008703220191470844,2,0,1.0
bug_message_keyword_incorrect,21,[1],0.0008703220191470844,0.0008703220191470844,0.0,1,0,1.0
bug_message_keyword_infinit,22,[1],0.0017406440382941688,0.0017406440382941688,0.0008703220191470844,2,0,1.0
bug_message_keyword_invalid,23,[1],0.0034812880765883376,0.0017406440382941688,0.0,2,2,0.5
bug_message_keyword_issue,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,25,[1],0.004351610095735422,0.004351610095735422,0.0008703220191470844,5,0,1.0
bug_message_keyword_loop,26,[1],0.008703220191470844,0.006962576153176675,0.005221932114882507,8,2,0.8
bug_message_keyword_minor,27,[1],0.016536118363794605,0.015665796344647518,0.012184508268059183,4,15,0.21052631578947367
bug_message_keyword_mistak,28,[1],0.0008703220191470844,0.0008703220191470844,0.0008703220191470844,1,0,1.0
bug_message_keyword_npe,29,[1],0.020887728459530026,0.01392515230635335,0.004351610095735422,22,2,0.9166666666666667
